turbine,datetime,horizon_h,lead_day,power_pred,power_baseline,power_lgb
1,2026-02-17 00:00:00,1,1,0.5097564910644665,0.6282282515073212,0.5097564910644665
1,2026-02-17 01:00:00,2,1,0.5586530948547692,0.6578985507246379,0.5586530948547692
1,2026-02-17 02:00:00,3,1,0.5765582809238419,0.6282282515073212,0.5765582809238419
1,2026-02-17 03:00:00,4,1,0.6139311125651247,0.6137013669821241,0.6139311125651247
1,2026-02-17 04:00:00,5,1,0.5538410281386132,0.4828245614035086,0.5538410281386132
1,2026-02-17 05:00:00,6,1,0.377764129864871,0.27782441977800204,0.377764129864871
1,2026-02-17 06:00:00,7,1,0.25600496602923345,0.21644444444444438,0.25600496602923345
1,2026-02-17 07:00:00,8,1,0.18450743044275325,0.1963528059990324,0.18450743044275325
1,2026-02-17 08:00:00,9,1,0.11486839197923197,0.1963528059990324,0.11486839197923197
1,2026-02-17 09:00:00,10,1,0.07445595399219371,0.1963528059990324,0.07445595399219371
1,2026-02-17 10:00:00,11,1,0.055518656085153516,0.1963528059990324,0.055518656085153516
1,2026-02-17 11:00:00,12,1,0.0632557697901898,0.13767622950819672,0.0632557697901898
1,2026-02-17 12:00:00,13,1,0.07722060766926696,0.14688017598343686,0.07722060766926696
1,2026-02-17 13:00:00,14,1,0.11506666759752611,0.1963528059990324,0.11506666759752611
1,2026-02-17 14:00:00,15,1,0.13149858529477076,0.21644444444444438,0.13149858529477076
1,2026-02-17 15:00:00,16,1,0.22257945317448855,0.27782441977800204,0.22257945317448855
1,2026-02-17 16:00:00,17,1,0.23267586221818,0.29750665946724253,0.23267586221818
1,2026-02-17 17:00:00,18,1,0.38365377547772084,0.4921100775193798,0.38365377547772084
1,2026-02-17 18:00:00,19,1,0.4954569054821853,0.5715547703180212,0.4954569054821853
1,2026-02-17 19:00:00,20,1,0.6417284899217367,0.6578985507246379,0.6417284899217367
1,2026-02-17 20:00:00,21,1,0.7209332009310578,0.7185207700101317,0.7209332009310578
1,2026-02-17 21:00:00,22,1,0.8353217441049544,0.7185207700101317,0.8353217441049544
1,2026-02-17 22:00:00,23,1,0.787169703950222,0.6713293413173653,0.787169703950222
1,2026-02-17 23:00:00,24,1,0.8755966981339306,0.7185207700101317,0.8755966981339306
1,2026-02-18 00:00:00,25,2,0.8015943671156454,0.7944855072463767,0.8015943671156454
1,2026-02-18 01:00:00,26,2,0.7819726786139383,0.804693520140105,0.7819726786139383
1,2026-02-18 02:00:00,27,2,0.8062516833245297,0.804693520140105,0.8062516833245297
1,2026-02-18 03:00:00,28,2,0.8066330554260107,0.7697679924242425,0.8066330554260107
1,2026-02-18 04:00:00,29,2,0.7616771169663761,0.7697679924242425,0.7616771169663761
1,2026-02-18 05:00:00,30,2,0.8094122619836719,0.7697679924242425,0.8094122619836719
1,2026-02-18 06:00:00,31,2,0.6709350813492854,0.7697679924242425,0.6709350813492854
1,2026-02-18 07:00:00,32,2,0.6568569862717404,0.7697679924242425,0.6568569862717404
1,2026-02-18 08:00:00,33,2,0.7602900653516445,0.7944855072463767,0.7602900653516445
1,2026-02-18 09:00:00,34,2,0.7958606623237807,0.804693520140105,0.7958606623237807
1,2026-02-18 10:00:00,35,2,0.9351860351393286,0.829753928866832,0.9351860351393286
1,2026-02-18 11:00:00,36,2,0.9854209553156583,0.8618032212885153,0.9854209553156583
1,2026-02-18 12:00:00,37,2,0.9907909617478439,0.9011919831223631,0.9907909617478439
1,2026-02-18 13:00:00,38,2,0.9818000690032651,0.9011919831223631,0.9818000690032651
1,2026-02-18 14:00:00,39,2,0.9788545558954251,0.9011919831223631,0.9788545558954251
1,2026-02-18 15:00:00,40,2,0.9787638216610933,0.8586587771203154,0.9787638216610933
1,2026-02-18 16:00:00,41,2,0.9787989260259987,0.804693520140105,0.9787989260259987
1,2026-02-18 17:00:00,42,2,0.9390749812371404,0.7697679924242425,0.9390749812371404
1,2026-02-18 18:00:00,43,2,0.9709617908156467,0.7185207700101317,0.9709617908156467
1,2026-02-18 19:00:00,44,2,0.8814442918240808,0.6713293413173653,0.8814442918240808
1,2026-02-18 20:00:00,45,2,0.9293138899033657,0.6713293413173653,0.9293138899033657
1,2026-02-18 21:00:00,46,2,0.6968345002240244,0.6578985507246379,0.6968345002240244
1,2026-02-18 22:00:00,47,2,0.6013145327192653,0.6578985507246379,0.6013145327192653
1,2026-02-18 23:00:00,48,2,0.6123635773340594,0.6282282515073212,0.6123635773340594
